state,total,ytd
Alabama,2,2
Alaska,0,1
Arizona,1,1
Arkansas,0,0
California,24,35
Colorado,1,2
Connecticut,2,5
Delaware,0,0
Disrict Of Columbia,0,0
Florida,5,15
Georgia,4,6
Hawaii,0,1
Idaho,0,0
Illnois,2,2
Indiana,5,6
Iowa,0,3
Kansas,1,1
Kentucky,0,0
Louisana,4,4
Maine,1,1
Maryland,1,2
Massachusetts,0,0
Michigan,4,10
Minnesota,0,1
Mississippi,2,3
Missouri,2,2
Montana,0,0
Nebraska,0,3
Nevada,1,1
New Hampshire,1,1
New Jersey,10,11
New Mexico,1,7
New York,17,17
North Carolina,2,8
North Dakota,0,0
Ohio,2,14
Oklahoma,1,1
Oregon,1,1
Pennsylvania,10,10
Rhode Island ,0,6
South Carolina,3,3
South Dakota,0,0
Tennessee,3,3
Texas,11,13
Utah,0,11
Vermont,0,1
Virginia,6,12
Washington,0,0
West Virginia,1,1
Wisconson,1,1
Wyoming,0,2
Outside USA,7,8
No State,0,0
