state,total,ytd
Idaho,1,2
New Jersey,2,11
Texas,8,33
Maryland,1,10
Kansas,1,2
Massachusetts,1,4
Michigan,3,8
New York,18,67
Utah,1,2
South Carolina,1,7
Wyoming,0,0
Hawaii,0,3
Indiana,0,4
Iowa,2,8
Montana,1,4
Nebraska,0,1
Ohio,1,8
Louisana,0,5
New Hampshire,0,1
Arizona,0,2
Florida,5,20
Illnois,4,14
South Dakota,0,0
Virginia,4,14
Missouri,0,3
Tennessee,1,8
Minnesota,1,4
Pennsylvania,6,27
Disrict Of Columbia,0,5
Wisconson,0,3
Rhode Island ,0,1
Georgia,2,15
Arkansas,0,2
Maine,0,0
Kentucky,1,7
Washington,0,2
Mississippi,1,3
California,14,54
North Dakota,0,0
Colorado,0,8
Delaware,0,0
Vermont,0,0
West Virginia,0,1
Alabama,0,7
Oregon,0,3
North Carolina,3,13
Oklahoma,0,0
Alaska,0,0
New Mexico,0,1
Nevada,0,2
Connecticut,0,8
