state,total,ytd
Idaho,1,3
New Jersey,3,14
Texas,13,46
Maryland,4,14
Kansas,3,5
Massachusetts,2,6
Michigan,2,10
New York,21,88
Utah,2,4
South Carolina,2,9
Wyoming,0,0
Hawaii,0,3
Indiana,2,6
Iowa,0,8
Montana,0,4
Nebraska,0,1
Ohio,3,11
Louisana,1,6
New Hampshire,0,1
Arizona,3,5
Florida,11,31
Illnois,3,17
South Dakota,0,0
Virginia,5,19
Missouri,2,5
Tennessee,3,11
Minnesota,1,5
Pennsylvania,11,38
Disrict Of Columbia,1,6
Wisconson,2,5
Rhode Island ,0,1
Georgia,2,17
Arkansas,4,6
Maine,0,0
Kentucky,0,7
Washington,2,4
Mississippi,1,4
California,18,72
North Dakota,0,0
Colorado,0,8
Delaware,0,0
Vermont,0,0
West Virginia,0,1
Alabama,2,9
Oregon,1,4
North Carolina,4,17
Oklahoma,1,1
Alaska,0,0
New Mexico,0,1
Nevada,0,2
Connecticut,1,9
