state,total,ytd
Alabama,1,27
Alaska,0,2
Arizona,1,19
Arkansas,2,9
California,12,178
Colorado,3,15
Connecticut,3,21
Delaware,1,3
Disrict Of Columbia,1,11
Florida,8,117
Georgia,3,38
Hawaii,0,3
Idaho,0,1
Illnois,0,30
Indiana,1,24
Iowa,1,6
Kansas,0,13
Kentucky,0,8
Louisana,2,24
Maine,0,5
Maryland,3,31
Massachusetts,1,21
Michigan,5,42
Minnesota,1,11
Mississippi,0,10
Missouri,1,19
Montana,1,5
Nebraska,0,2
Nevada,1,9
New Hampshire,0,2
New Jersey,6,56
New Mexico,0,4
New York,21,237
North Carolina,3,56
North Dakota,0,1
Ohio,4,44
Oklahoma,1,11
Oregon,1,5
Pennsylvania,7,97
Rhode Island ,0,2
South Carolina,0,25
South Dakota,0,4
Tennessee,1,22
Texas,13,154
Utah,2,16
Vermont,0,0
Virginia,4,60
Washington,2,10
West Virginia,0,8
Wisconson,0,13
Wyoming,1,1
