state,total,ytd
Alabama,2,21
Alaska,1,2
Arizona,0,15
Arkansas,1,3
California,17,129
Colorado,0,8
Connecticut,2,13
Delaware,0,1
Disrict Of Columbia,0,4
Florida,11,83
Georgia,4,21
Hawaii,0,3
Idaho,0,0
Illnois,1,19
Indiana,0,17
Iowa,2,2
Kansas,3,7
Kentucky,0,3
Louisana,4,14
Maine,1,4
Maryland,1,21
Massachusetts,3,15
Michigan,2,25
Minnesota,2,6
Mississippi,0,6
Missouri,3,14
Montana,0,1
Nebraska,0,2
Nevada,0,4
New Hampshire,0,2
New Jersey,1,33
New Mexico,0,2
New York,19,143
North Carolina,10,37
North Dakota,1,1
Ohio,6,28
Oklahoma,0,8
Oregon,0,2
Pennsylvania,4,69
Rhode Island ,0,2
South Carolina,1,18
South Dakota,2,3
Tennessee,1,18
Texas,18,88
Utah,1,12
Vermont,0,0
Virginia,6,41
Washington,0,2
West Virginia,1,6
Wisconson,1,10
Wyoming,0,0
