state,total,ytd
Alabama,3,19
Alaska,1,1
Arizona,0,15
Arkansas,2,2
California,13,112
Colorado,0,8
Connecticut,1,11
Delaware,0,1
Disrict Of Columbia,2,4
Florida,9,72
Georgia,3,17
Hawaii,0,3
Idaho,0,0
Illnois,3,18
Indiana,2,17
Iowa,0,0
Kansas,1,4
Kentucky,1,3
Louisana,1,10
Maine,1,3
Maryland,3,20
Massachusetts,0,12
Michigan,1,23
Minnesota,0,4
Mississippi,1,6
Missouri,0,11
Montana,0,1
Nebraska,0,2
Nevada,1,4
New Hampshire,0,2
New Jersey,3,32
New Mexico,0,2
New York,21,124
North Carolina,3,27
North Dakota,0,0
Ohio,6,22
Oklahoma,1,8
Oregon,0,2
Pennsylvania,8,65
Rhode Island ,0,2
South Carolina,0,17
South Dakota,0,1
Tennessee,1,17
Texas,9,70
Utah,3,11
Vermont,0,0
Virginia,4,35
Washington,0,2
West Virginia,0,5
Wisconson,2,9
Wyoming,0,0
