state,total,ytd
Alabama,2,11
Alaska,0,0
Arizona,5,6
Arkansas,0,0
California,19,71
Colorado,3,6
Connecticut,2,10
Delaware,1,1
Disrict Of Columbia,0,0
Florida,15,40
Georgia,4,12
Hawaii,0,1
Idaho,0,0
Illnois,3,9
Indiana,0,8
Iowa,0,0
Kansas,2,3
Kentucky,0,1
Louisana,2,8
Maine,0,1
Maryland,6,11
Massachusetts,3,5
Michigan,5,18
Minnesota,0,2
Mississippi,2,5
Missouri,1,7
Montana,1,1
Nebraska,0,1
Nevada,0,3
New Hampshire,0,2
New Jersey,6,24
New Mexico,1,2
New York,17,66
North Carolina,9,16
North Dakota,0,0
Ohio,7,11
Oklahoma,3,4
Oregon,0,1
Pennsylvania,17,37
Rhode Island ,1,1
South Carolina,6,11
South Dakota,0,0
Tennessee,3,10
Texas,13,40
Utah,3,6
Vermont,0,0
Virginia,5,21
Washington,0,0
West Virginia,2,4
Wisconson,2,6
Wyoming,0,0
